,location,year,BMI: Obese (BMI 30.0 - 99.8),BMI: Overweight (BMI 25.0-29.9),BMI: Normal Weight (BMI 18.5-24.9),BMI: Underweight (BMI 12.0-18.4),General health: Excellent,General health: Very good,General health: Good,General health: Fair,General health: Poor,Health status: Good or Better,Health status: Fair or Poor,Doc visit: Past year,Doc visit: Past 2 years,Doc visit: Past 5 years,Doc visit: 5+ years ago,Doc visit: Never,"Concentrate, remember, decide: Difficult","Concentrate, remember, decide: Not difficult",Bad mental health days: 0,Bad mental health days: 1-13,Bad mental health days: 14+,Fruit eaten: Daily,Fruit eaten: Not daily,Vegetables eaten: Daily,Vegetables eaten: Not daily,Aerobic activity per week: Over 150 min,Aerobic activity per week: Under 150 min,Met physical activity guidelines: Yes,Met physical activity guidelines: No,Strength training: 2x+ per week,Strength training: 1x- per week,Physically active in last month: Yes,Physically active in last month: No
257,South Dakota,2015,30.4,34.1,34.3,1.3,20.8,35.4,30.1,10.2,3.4,86.3,13.7,70.2,10.7,7.7,10.4,1.0,7.7,92.3,,,,57.5,42.5,73.9,26.1,53.6,46.4,19.2,80.8,28.8,71.2,78.6,21.4
258,South Dakota,2016,29.6,37.3,31.8,1.3,20.0,35.7,31.3,9.6,3.4,87.0,13.0,68.6,11.2,7.8,10.6,1.9,6.8,93.2,,,,,,,,,,,,,,81.1,18.9
259,South Dakota,2017,31.9,35.8,30.8,1.4,19.3,35.3,31.1,10.5,3.8,85.7,14.3,68.7,12.5,7.6,9.8,1.3,9.3,90.7,,,,63.1,36.9,83.1,16.9,50.8,49.2,18.6,81.4,28.4,71.6,75.1,24.9
260,South Dakota,2018,30.1,37.8,30.4,1.7,18.0,36.2,31.2,11.1,3.6,85.4,14.6,74.7,11.1,6.4,6.7,1.1,9.7,90.3,,,,,,,,,,,,,,76.0,24.0
261,South Dakota,2019,33.0,37.9,27.8,1.2,18.9,33.0,32.1,11.5,4.5,84.0,16.0,74.3,10.9,6.3,7.5,1.0,10.2,89.8,66.5,22.9,10.6,60.9,39.1,82.6,17.4,45.8,54.2,21.8,78.2,34.6,65.4,70.0,30.0
262,South Dakota,2020,33.2,36.4,29.1,1.3,22.3,39.3,27.2,9.2,2.0,88.8,11.2,76.2,12.4,5.7,4.6,,7.9,92.1,68.5,22.1,9.4,,,,,,,,,,,77.6,22.4
263,South Dakota,2021,38.4,33.7,26.6,1.2,18.8,36.8,30.8,10.9,2.7,86.4,13.6,75.8,12.0,5.4,6.0,,11.0,89.0,61.9,26.7,11.4,56.6,43.4,80.8,19.2,,,,,,,76.8,23.2
264,Tennessee,2015,33.8,34.9,29.9,1.4,16.0,30.4,32.4,14.3,6.8,78.9,21.1,72.7,10.8,7.5,8.1,1.0,13.2,86.8,,,,54.9,45.1,77.4,22.6,45.4,54.6,17.8,82.2,27.6,72.4,69.6,30.4
265,Tennessee,2016,34.8,33.8,29.5,1.9,16.6,31.0,31.9,13.4,7.1,79.5,20.5,69.8,12.5,8.4,8.3,1.0,13.9,86.1,,,,,,,,,,,,,,71.6,28.4
266,Tennessee,2017,32.8,35.4,29.8,2.0,15.2,31.7,31.8,14.5,6.7,78.8,21.2,71.8,12.2,7.6,7.7,0.7,14.4,85.6,,,,61.1,38.9,84.2,15.8,47.0,53.0,16.9,83.1,26.6,73.4,69.4,30.6
